Date,Adj Close,Close,High,Low,Open,Volume
2013-09-23,453.25,453.25,454.75,449.0,449.0,117384.0
2013-09-24,448.75,448.75,453.5,448.0,453.0,85790.0
2013-09-25,454.75,454.75,456.25,448.75,451.0,102415.0
2013-09-26,456.75,456.75,457.75,451.5,453.0,102257.0
2013-09-27,454.0,454.0,458.5,453.0,456.75,81835.0
2013-09-30,441.5,441.5,461.75,440.75,456.0,96327.0
2013-10-01,439.0,439.0,440.5,436.0,440.5,231380.0
2013-10-02,439.0,439.0,440.25,437.25,437.75,162610.0
2013-10-03,439.25,439.25,442.25,438.5,442.25,110682.0
2013-10-04,443.25,443.25,443.5,440.0,440.5,97170.0
2013-10-07,449.25,449.25,449.5,443.25,444.0,80706.0
2013-10-08,441.75,441.75,447.25,440.75,446.75,148378.0
2013-10-09,443.5,443.5,446.0,441.25,442.0,127958.0
2013-10-10,438.25,438.25,445.0,436.5,445.0,106370.0
2013-10-11,433.25,433.25,435.0,432.5,434.0,110458.0
2013-10-14,437.0,437.0,437.25,432.5,432.5,95879.0
2013-10-15,443.5,443.5,443.75,436.5,438.0,87547.0
2013-10-16,442.75,442.75,444.75,440.25,444.5,132993.0
2013-10-17,443.0,443.0,446.5,442.0,444.5,120313.0
2013-10-18,441.5,441.5,447.0,440.0,445.75,109641.0
2013-10-21,444.0,444.0,444.5,438.5,440.5,113287.0
2013-10-22,438.25,438.25,443.0,437.0,443.0,105735.0
2013-10-23,442.75,442.75,446.0,439.75,440.25,94419.0
2013-10-24,440.25,440.25,444.0,438.75,441.25,154657.0
2013-10-25,440.0,440.0,441.25,439.5,440.0,145523.0
2013-10-28,430.75,430.75,438.25,430.25,438.0,114537.0
2013-10-29,432.0,432.0,433.75,428.75,429.5,197956.0
2013-10-30,430.25,430.25,434.5,429.5,433.0,160427.0
2013-10-31,428.25,428.25,435.25,427.5,435.0,145107.0
2013-11-01,427.25,427.25,429.75,425.75,426.25,226896.0
2013-11-04,426.25,426.25,428.25,425.5,425.75,175603.0
2013-11-05,425.0,425.0,426.75,424.0,425.5,154961.0
2013-11-06,421.25,421.25,425.5,420.75,424.5,173087.0
2013-11-07,420.5,420.5,424.0,419.0,422.25,203384.0
2013-11-08,426.75,426.75,427.0,416.0,420.25,240006.0
2013-11-11,434.75,434.75,437.0,429.75,429.75,367855.0
2013-11-12,432.25,432.25,436.5,431.0,436.25,256555.0
2013-11-13,429.75,429.75,434.0,428.75,433.75,176527.0
2013-11-14,426.5,426.5,430.0,425.75,429.5,226433.0
2013-11-15,422.0,422.0,430.0,421.5,427.0,166631.0
2013-11-18,412.0,412.0,419.25,411.5,417.75,215387.0
2013-11-19,417.75,417.75,418.5,411.75,414.0,251099.0
2013-11-20,417.0,417.0,418.75,415.75,416.25,184949.0
2013-11-21,423.0,423.0,424.0,420.0,420.25,146175.0
2013-11-22,422.25,422.25,425.25,421.0,423.5,184359.0
2013-11-25,424.75,424.75,425.5,423.25,423.25,191252.0
2013-11-26,418.5,418.5,421.0,417.25,420.5,122502.0
2013-11-27,417.25,417.25,421.25,416.75,420.25,134287.0
2013-12-02,416.5,416.5,416.5,410.5,415.0,21820.0
2013-12-03,422.0,422.0,422.5,414.75,414.75,14977.0
2013-12-04,425.5,425.5,425.5,425.5,425.5,9178.0
2013-12-05,422.75,422.75,423.5,422.0,422.0,7667.0
2013-12-06,424.0,424.0,424.0,422.5,422.5,2386.0
2013-12-09,428.5,428.5,429.0,425.0,425.0,2079.0
